freq,phAngle,power,reacPower,rmsCur,rmsVolt,time,equipment
50.0,0,71.294,-1.353,0.307,232.993,2013-12-17 17:50:40,Coffee_machines,203
50.0,357,39.758,-2.081,0.171,232.916,2013-12-17 17:52:00,Coffee_machines,211
50.0,0,235.844,-2.497,1.012,233.658,2013-12-17 17:53:50,Coffee_machines,222
50.0,0,330.453,-3.85,2.708,232.441,2013-12-17 18:01:40,Coffee_machines,269
50.0,349,9.991,-2.914,0.044,235.808,2013-12-17 18:03:40,Coffee_machines,281
50.0,2,130.828,7.805,0.557,235.218,2013-12-17 18:05:00,Coffee_machines,289
50.0,2,1238.757,47.148,5.302,232.814,2013-12-17 18:05:10,Coffee_machines,290
50.0,0,1188.486,0.936,5.101,232.013,2013-12-17 18:05:20,Coffee_machines,291
50.0,0,0.0,0.0,0.0,235.053,2013-12-17 18:05:40,Coffee_machines,293
50.0,276,0.312,-3.226,0.013,234.556,2013-12-17 18:07:30,Coffee_machines,304
50.0,276,0.312,-3.226,0.013,234.413,2013-12-17 18:08:10,Coffee_machines,308
50.0,359,82.223,-2.914,0.351,234.126,2013-12-17 18:09:50,Coffee_machines,318
50.0,276,0.312,-3.226,0.013,234.441,2013-12-17 18:10:00,Coffee_machines,319
50.0,276,0.312,-3.226,0.013,234.48,2013-12-17 18:11:40,Coffee_machines,329
50.0,2,1219.814,46.107,5.261,231.058,2013-12-17 18:12:30,Coffee_machines,334
50.0,0,698.375,-2.601,3.922,232.458,2013-12-17 18:12:40,Coffee_machines,335
50.0,0,245.211,-2.601,1.052,233.525,2013-12-17 18:12:50,Coffee_machines,336
50.0,276,0.312,-3.226,0.013,234.289,2013-12-17 18:13:00,Coffee_machines,337
50.0,276,0.312,-3.226,0.013,234.09,2013-12-17 18:13:10,Coffee_machines,338
50.0,276,0.312,-3.226,0.013,234.098,2013-12-17 18:13:30,Coffee_machines,340
50.0,276,0.312,-3.226,0.013,234.064,2013-12-17 18:14:20,Coffee_machines,345
50.0,2,1020.397,42.048,4.809,231.583,2013-12-17 18:14:30,Coffee_machines,346
50.0,2,1218.565,46.627,5.255,231.099,2013-12-17 18:14:40,Coffee_machines,347
50.0,275,0.312,-3.226,0.013,235.328,2013-12-17 18:14:50,Coffee_machines,348
50.0,275,0.312,-3.226,0.013,235.907,2013-12-17 18:15:00,Coffee_machines,349
50.0,276,0.312,-3.226,0.013,236.002,2013-12-17 18:15:10,Coffee_machines,350
50.0,275,0.312,-3.226,0.013,235.996,2013-12-17 18:15:20,Coffee_machines,351
50.0,0,228.038,-1.665,0.97,235.258,2013-12-17 18:15:30,Coffee_machines,352
50.0,54,35.907,51.207,0.264,236.517,2013-12-17 18:15:40,Coffee_machines,353
50.0,275,0.208,-3.226,0.013,236.616,2013-12-17 18:15:50,Coffee_machines,354
50.0,46,37.78,40.278,0.233,236.477,2013-12-17 18:16:00,Coffee_machines,355
50.0,2,1243.024,46.731,5.309,233.329,2013-12-17 18:16:10,Coffee_machines,356
50.0,0,695.981,-1.977,3.922,233.708,2013-12-17 18:16:20,Coffee_machines,357
50.0,2,1223.249,45.378,5.268,231.391,2013-12-17 18:16:30,Coffee_machines,358
50.0,0,462.53,-1.665,3.211,233.479,2013-12-17 18:16:40,Coffee_machines,359
50.0,353,16.965,-3.746,0.074,234.734,2013-12-17 18:16:50,Coffee_machines,360
50.0,53,35.595,49.437,0.259,235.157,2013-12-17 18:17:10,Coffee_machines,362
50.0,37,8.014,7.493,0.046,234.589,2013-12-17 18:17:20,Coffee_machines,363
50.0,55,35.074,49.021,0.257,234.457,2013-12-17 18:17:30,Coffee_machines,364
50.0,276,0.312,-3.226,0.013,235.262,2013-12-17 18:17:40,Coffee_machines,365
50.0,2,1021.646,47.46,4.804,232.111,2013-12-17 18:17:50,Coffee_machines,366
50.0,2,1218.669,44.546,5.256,231.036,2013-12-17 18:18:00,Coffee_machines,367
50.0,0,1093.253,2.081,4.899,231.38,2013-12-17 18:18:10,Coffee_machines,368
50.0,359,71.71,-2.393,0.306,234.178,2013-12-17 18:18:20,Coffee_machines,369
50.0,0,236.156,-2.601,1.013,233.631,2013-12-17 18:18:30,Coffee_machines,370
50.0,276,0.312,-3.226,0.013,234.382,2013-12-17 18:19:10,Coffee_machines,374
50.0,346,9.679,-2.706,0.042,234.264,2013-12-17 18:19:30,Coffee_machines,376
50.0,276,0.312,-3.226,0.013,234.335,2013-12-17 18:20:40,Coffee_machines,383
50.0,276,0.312,-3.226,0.013,234.16,2013-12-17 18:21:30,Coffee_machines,388
50.0,276,0.208,-3.226,0.013,234.018,2013-12-17 18:21:40,Coffee_machines,389
50.0,276,0.312,-3.226,0.013,234.092,2013-12-17 18:22:20,Coffee_machines,393
50.0,276,0.208,-3.226,0.013,234.154,2013-12-17 18:22:50,Coffee_machines,396
50.0,359,0.208,-3.226,0.013,234.103,2013-12-17 18:23:20,Coffee_machines,399
50.0,355,191.194,-3.746,0.82,233.72,2013-12-17 18:23:50,Coffee_machines,402
50.0,0,0.312,-2.497,0.013,234.024,2013-12-17 18:24:50,Coffee_machines,408
50.0,333,77.227,-2.81,0.331,233.93,2013-12-17 18:25:50,Coffee_machines,414
50.0,2,1219.918,45.586,5.26,231.146,2013-12-17 18:26:40,Coffee_machines,419
50.0,0,16.444,-2.81,0.07,235.129,2013-12-17 18:27:00,Coffee_machines,421
50.0,0,0.312,-2.393,1.013,233.494,2013-12-17 18:30:50,Coffee_machines,444
